,id,districtr_id
254,c1431-1,30115 -1
255,c1373-1,30127-1
256,c1374-1,30130-1
257,c1375-1,30137-1
258,c1578-1,30154-1
259,c1381-1,30161-1
260,c1382-1,30168-1
261,c1383-1,30174-1
262,c1384-1,30177-1
263,c1385-1,30188-1
264,c1748-1,30191-1
265,c1497-1,30193-1
266,c1530-1,30197-1
267,c1532-1,30199-1
268,c1534-1,30205-1
269,c1535-1,30209-1
270,c1536-1,30211-1
271,c1537-1,30213-1
272,c1538-1,30216-1
273,c1391-1,30227-1
274,c1539-1,30233-1
275,c1540-1,30236-1
276,c1392-1,30238-1
277,c1396-1,30240-1
278,c1541-1,30242-1
279,c1417-1,30244-1
280,c1395-1,30245-1
281,c1543-1,30247-1
282,c1398-1,30248-1
283,c1397-1,30250-1
284,c1400-1,30252-1
285,c1544-1,30253-1
286,c1403-2,30254-2
287,c1401-1,30255-1
288,c1545-1,30256-1
289,c1546-1,30257-1
290,c1404-1,30259-1
291,c1547-1,30260-1
292,c1548-1,30263-1
293,c1412-1,30270-1
294,c1410-1,30271-1
295,c1549-1,30273-1
296,c1413-1,30278-1
297,c1415-1,30280-1
298,c1416-1,30281-1
299,c1419-1,30283-1
300,c1420-1,30291-1
301,c1557-1,30296-1
302,c1558-1,30297-1
303,c1559-1,30298-1
304,c1560-1,30300-1
305,c1562-1,30301-1
306,c1563-1,30302-1
307,c1564-1,30303-1
308,c1565-1,30304-1
309,c1566-1,30305-1
310,c1567-1,30306-1
311,c1568-1,30308-1
312,c1569-1,30310-1
313,c1570-1,30312-1
314,c1571-1,30313-1
315,c1572-1,30315-1
316,c1573-1,30316-1
317,c1574-1,30317-1
318,c1575-1,30318-1
319,c1576-1,30320-1
320,c1577-1,30321-1
321,c1421-1,30338-1
322,c1425-1,30375-1
323,c1427-1,30376-1
324,c1430-1,30378-1
325,c1436-1,30388-1
326,c1437-1,30390-1
327,c1438-1,30391-1
328,c1440-1,30395-1
329,c1441-1,30396-1
330,c1442-1,30398-1
331,c1443-1,30405-1
332,c1444-1,30408-1
333,c1446-1,30414-1
334,c1447-1,30418-1
335,c1448-1,30423-1
336,c1449-1,30425-1
337,c1450-1,30427-1
338,c1453-1,30514-1
339,c1454-1,30515-1
340,c1455-1,30517-1
341,c1456-1,30521-1
342,c1457-1,30539-1
343,c1459-1,30544-1
344,c1458-1,30545-1
345,c1463-1,30552-1
346,c1460-1,30556-1
347,c1467-1,30557-1
348,c1466-1,30557-1
349,c1476-1,30560-1
350,c1468-1,30564-1
351,c1469-1,30569-1
352,c1474-1,30571-1
353,c1470-1,30572-1
354,c1475-1,30575-1
355,c1472-1,30576-1
356,c1552-1,30578-1
357,c1479-1,30590-1
358,c1485-1,30601-1
359,c1489-1,30616-1
360,c1490-1,30623-1
361,c1491-1,30629-1
362,c1492-1,30638-1
363,c1493-1,30642-1
364,c1494-1,30645-1
365,c1495-1,30651-1
366,c1507-1,30678-1
367,c1508-1,30680-1
368,c1510-1,30692-1
369,c1511-1,30693-1
370,c1754-1,30708-1
371,c1755-1,30712-1
372,c1513-1,30715-1
373,c1514-1,30725-1
374,c1515-1,30735-1
375,c1516-1,30739-1
376,c1526-1,30769-1
377,c1533-1,30778-1
378,c1528-1,30778-1
379,c1553-1,30850-1
380,c1554-1,30853-1
381,c1555-1,30855-1
382,c1556-1,30859-1
