clusters,TOTPOP20,WHITEPOP20,BLACKPOP20,AMINPOP20,ASIANPOP20,NHPIPOP20,OTHPOP20,WHITEBLACKPOP20,WHITEAMINPOP20,WHITEASIANPOP20,WHITENHPIPOP20,WHITEOTHPOP20,BLACKAMINPOP20,BLACKASIANPOP20,BLACKNHPIPOP20,BLACKOTHPOP20,AMINASIANPOP20,AMINNHPIPOP20,AMINOTHPOP20,ASIANNHPIPOP20,ASIANOTHPOP20,NHPIOTHPOP20,WHITEBLACKAMINPOP20,WHITEBLACKASIANPOP20,WHITEBLACKNHPIPOP20,WHITEBLACKOTHPOP20,WHITEAMINASIANPOP20,WHITEAMINNHPIPOP20,WHITEAMINOTHPOP20,WHITEASIANNHPIPOP20,WHITEASIANOTHPOP20,WHITENHPIOTHPOP20,BLACKAMINASIANPOP20,BLACKAMINNHPIPOP20,BLACKAMINOTHPOP20,BLACKASIANNHPIPOP20,BLACKASIANOTHPOP20,BLACKNHPIOTHPOP20,AMINASIANNHPIPOP20,AMINASIANOTHPOP20,AMINNHPIOTHPOP20,ASIANNHPIOTHPOP20,WHITEBLACKAMINASIANPOP20,WHITEBLACKAMINNHPIPOP20,WHITEBLACKAMINOTHPOP20,WHITEBLACKASIANNHPIPOP20,WHITEBLACKASIANOTHPOP20,WHITEBLACKNHPIOTHPOP20,WHITEAMINASIANNHPIPOP20,WHITEAMINASIANOTHPOP20,WHITEAMINNHPIOTHPOP20,WHITEASIANNHPIOTHPOP20,BLACKAMINASIANNHPIPOP20,BLACKAMINASIANOTHPOP20,BLACKAMINNHPIOTHPOP20,BLACKASIANNHPIOTHPOP20,AMINASIANNHPIOTHPOP20,WHITEBLACKAMINASIANNHPIPOP20,WHITEBLACKAMINASIANOTHPOP20,WHITEBLACKAMINNHPIOTHPOP20,WHITEBLACKASIANNHPIOTHPOP20,WHITEAMINASIANNHPIOTHPOP20,BLACKAMINASIANNHPIOTHPOP20,WHITEBLACKAMINASIANNHPIOTHPOP20
25,382175,340103,3628,2733,4025,420,6076,2421,11401,1764,202,7829,66,69,22,135,13,5,77,50,34,21,314,54,16,84,143,28,234,66,38,8,2,3,3,2,2,1,0,0,0,3,16,4,25,2,3,3,6,1,0,1,0,0,0,1,0,11,6,0,0,0,0,1
26,80225,71167,1372,560,601,65,1019,805,2400,348,30,1514,19,18,4,37,9,0,11,12,6,2,82,8,11,26,18,0,39,5,10,3,0,0,0,0,0,0,0,0,0,2,9,0,10,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
27-1,348357,294872,10684,2400,6739,455,5809,4755,9987,2366,230,7785,205,69,22,254,28,3,66,132,25,18,500,84,34,161,155,27,264,85,59,4,0,0,2,1,0,0,3,0,0,1,16,1,39,0,0,0,2,0,0,0,0,0,0,1,1,10,0,0,2,0,0,1
27-2,348314,294741,10667,2420,6733,450,5814,4741,9951,2378,245,7886,203,68,22,253,30,4,65,132,25,18,498,85,32,162,167,27,268,86,58,4,0,0,2,1,0,1,3,0,0,2,14,1,36,0,0,0,2,0,0,1,0,0,0,1,1,13,1,0,2,0,0,0
28,34000,21956,9384,100,184,5,722,531,513,42,1,397,41,0,0,20,0,0,8,0,5,0,38,2,1,12,3,0,14,12,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
29,194691,165724,14928,538,1776,25,1911,1991,3926,562,40,2657,87,26,0,71,2,0,29,16,23,0,154,2,6,41,26,12,54,14,7,4,0,0,8,1,0,0,1,0,0,0,6,4,2,0,0,0,3,0,0,0,1,0,1,0,0,7,3,2,0,0,0,0
30,113706,102556,3530,419,593,24,734,580,2923,266,36,1742,7,11,4,27,4,7,9,19,14,4,60,9,5,9,9,2,26,19,9,1,1,2,6,2,0,4,0,4,0,0,10,5,0,0,4,0,0,3,0,1,0,0,0,0,0,3,0,3,0,0,0,0
31,68988,63614,386,359,298,50,655,310,1698,201,25,1197,1,1,1,11,0,0,15,4,3,9,31,13,0,30,9,0,25,5,3,4,2,2,0,5,0,0,1,0,0,3,1,0,1,3,0,0,4,0,0,1,1,0,0,0,0,5,1,0,0,0,0,0
32,76632,69835,1730,234,277,42,472,570,1903,190,35,1046,25,13,1,14,3,0,19,11,3,6,53,9,4,6,14,3,42,16,10,2,2,1,3,0,1,0,0,0,0,1,9,2,5,2,0,0,7,0,0,1,0,1,0,0,0,0,7,1,0,0,1,0
33,187747,159354,7761,1138,3664,480,2446,1523,4984,1232,161,3748,89,100,28,160,12,11,36,87,31,11,187,58,4,62,71,18,101,46,48,0,1,0,2,5,5,0,0,5,0,2,16,2,23,5,1,1,9,3,3,0,2,0,0,0,0,3,3,1,2,0,0,2
34,64691,59534,278,423,273,26,326,253,2204,169,24,987,6,3,0,9,1,0,10,9,10,0,63,12,1,6,12,5,22,4,1,5,0,2,1,0,0,0,0,0,0,0,0,2,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35,198957,183073,1065,1174,777,88,1532,878,5880,523,124,3219,37,5,3,34,10,2,35,16,23,16,123,29,1,55,43,4,67,15,14,6,10,0,6,12,1,0,0,0,0,3,2,0,11,1,3,0,6,3,0,3,1,0,0,2,0,11,10,0,0,0,0,1
